CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
robbery,2015,January,16,Friday,15,Outside,127,Bendale (127),-79.265049081818,43.7515155620067,2015-01-16 15:00:00
robbery,2015,January,16,Friday,14,Outside,120,Clairlea-Birchmount (120),-79.2803065477941,43.7168419026789,2015-01-16 14:00:00
robbery,2015,January,16,Friday,18,Commercial,2,Mount Olive-Silverstone-Jamestown (2),-79.5853144806797,43.743896955043,2015-01-16 18:00:00
robbery,2015,January,16,Friday,17,Outside,NSA,NSA,-79.6359178979703,43.64696515162,2015-01-16 17:00:00
robbery,2015,January,16,Friday,0,Outside,77,Waterfront Communities-The Island (77),-79.3928553978209,43.6473145822947,2015-01-16 00:00:00
robbery,2015,January,16,Friday,2,Commercial,89,Runnymede-Bloor West Village (89),-79.4822575034693,43.6655780803017,2015-01-16 02:00:00
robbery,2015,January,17,Saturday,0,House,1,West Humber-Clairville (1),-79.5962214806506,43.7414313463459,2015-01-17 00:00:00
robbery,2015,January,15,Thursday,22,Transit,126,Dorset Park (126),-79.2779700371522,43.7654564262139,2015-01-15 22:00:00
robbery,2015,January,16,Friday,23,Outside,132,Malvern (132),-79.2257423571347,43.8122135765248,2015-01-16 23:00:00
robbery,2015,January,17,Saturday,4,Apartment,64,Woodbine Corridor (64),-79.3193211750718,43.6795713808245,2015-01-17 04:00:00
robbery,2015,January,17,Saturday,0,House,1,West Humber-Clairville (1),-79.5962214806506,43.7414313463459,2015-01-17 00:00:00
robbery,2015,January,17,Saturday,0,Commercial,130,Milliken (130),-79.2466665344161,43.8122066373065,2015-01-17 00:00:00
robbery,2015,January,17,Saturday,0,Commercial,130,Milliken (130),-79.2466665344161,43.8122066373065,2015-01-17 00:00:00
robbery,2015,January,17,Saturday,10,Commercial,105,Lawrence Park North (105),-79.4035514911261,43.7302616633604,2015-01-17 10:00:00
robbery,2015,January,17,Saturday,16,Commercial,127,Bendale (127),-79.2591698455305,43.7784380272832,2015-01-17 16:00:00
robbery,2015,January,17,Saturday,0,House,1,West Humber-Clairville (1),-79.5962214806506,43.7414313463459,2015-01-17 00:00:00
robbery,2015,January,16,Friday,23,Outside,132,Malvern (132),-79.2257423571347,43.8122135765248,2015-01-16 23:00:00
robbery,2015,January,17,Saturday,1,Apartment,2,Mount Olive-Silverstone-Jamestown (2),-79.579874598823,43.7386479030203,2015-01-17 01:00:00
robbery,2015,January,17,Saturday,0,Commercial,130,Milliken (130),-79.2466665344161,43.8122066373065,2015-01-17 00:00:00
robbery,2015,January,17,Saturday,10,Commercial,105,Lawrence Park North (105),-79.4035514911261,43.7302616633604,2015-01-17 10:00:00
robbery,2015,January,17,Saturday,13,Commercial,123,Cliffcrest (123),-79.2283577124305,43.7286521998933,2015-01-17 13:00:00
robbery,2015,January,17,Saturday,19,Outside,75,Church-Yonge Corridor (75),-79.382419483883,43.663701300311,2015-01-17 19:00:00
robbery,2015,January,17,Saturday,16,Commercial,127,Bendale (127),-79.2591698455305,43.7784380272832,2015-01-17 16:00:00
robbery,2015,January,17,Saturday,21,Commercial,136,West Hill (136),-79.1868624020944,43.7706065515387,2015-01-17 21:00:00
robbery,2015,January,17,Saturday,21,Outside,35,Westminster-Branson (35),-79.4486031685799,43.7797542749485,2015-01-17 21:00:00
robbery,2015,January,16,Friday,19,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.582640055828,43.746795946334,2015-01-16 19:00:00
robbery,2015,January,18,Sunday,16,Commercial,26,Downsview-Roding-CFB (26),-79.5137965538313,43.7198240863369,2015-01-18 16:00:00
robbery,2015,January,18,Sunday,12,Outside,132,Malvern (132),-79.2176624877548,43.7981162720555,2015-01-18 12:00:00
robbery,2015,January,18,Sunday,1,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.5938620552709,43.7468702080824,2015-01-18 01:00:00
robbery,2015,January,17,Saturday,23,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.588344443801,43.7562272550527,2015-01-17 23:00:00
robbery,2015,January,18,Sunday,21,Outside,NSA,NSA,-85.4887438847069,0.0,2015-01-18 21:00:00
robbery,2015,January,18,Sunday,1,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.5938620552709,43.7468702080824,2015-01-18 01:00:00
robbery,2015,January,18,Sunday,1,Outside,74,North St.James Town (74),-79.3753894103313,43.6687401770147,2015-01-18 01:00:00
robbery,2015,January,18,Sunday,1,Commercial,7,Willowridge-Martingrove-Richview (7),-79.5648618987354,43.6838410627134,2015-01-18 01:00:00
robbery,2015,January,18,Sunday,23,Commercial,137,Woburn (137),-79.2296315196495,43.760383035722,2015-01-18 23:00:00
robbery,2015,January,18,Sunday,23,Commercial,137,Woburn (137),-79.2296315196495,43.760383035722,2015-01-18 23:00:00
robbery,2015,January,18,Sunday,23,Commercial,137,Woburn (137),-79.2296315196495,43.760383035722,2015-01-18 23:00:00
robbery,2015,January,18,Sunday,23,Commercial,137,Woburn (137),-79.2296315196495,43.760383035722,2015-01-18 23:00:00
robbery,2015,January,18,Sunday,23,Commercial,137,Woburn (137),-79.2296315196495,43.760383035722,2015-01-18 23:00:00
robbery,2015,January,19,Monday,21,Outside,66,Danforth (66),-79.3322008692011,43.6823927586556,2015-01-19 21:00:00
robbery,2015,January,19,Monday,21,Commercial,23,Pelmo Park-Humberlea (23),-79.5374976038954,43.7203705076468,2015-01-19 21:00:00
robbery,2015,January,18,Sunday,23,Commercial,137,Woburn (137),-79.2296315196495,43.760383035722,2015-01-18 23:00:00
robbery,2015,January,19,Monday,0,Apartment,NSA,NSA,-85.4887438847069,0.0,2015-01-19 00:00:00
robbery,2015,January,20,Tuesday,22,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.588344443801,43.7562272550527,2015-01-20 22:00:00
robbery,2015,January,20,Tuesday,19,Outside,128,Agincourt South-Malvern West (128),-79.2800633367151,43.7936977761991,2015-01-20 19:00:00
