,date,policy_rate
667,2020-10-01,0.5
668,2020-09-30,0.5
669,2020-09-29,0.5
670,2020-09-28,0.5
671,2020-09-25,0.5
672,2020-09-24,0.5
673,2020-09-23,0.5
674,2020-09-22,0.5
675,2020-09-21,0.5
676,2020-09-18,0.5
677,2020-09-17,0.5
678,2020-09-16,0.5
679,2020-09-15,0.5
680,2020-09-14,0.5
681,2020-09-11,0.5
682,2020-09-10,0.5
683,2020-09-09,0.5
684,2020-09-08,0.5
685,2020-09-07,0.5
686,2020-09-04,0.5
687,2020-09-03,0.5
688,2020-09-02,0.5
689,2020-09-01,0.5
690,2020-08-31,0.5
691,2020-08-28,0.5
692,2020-08-27,0.5
693,2020-08-26,0.5
694,2020-08-25,0.5
695,2020-08-24,0.5
696,2020-08-21,0.5
697,2020-08-20,0.5
698,2020-08-19,0.5
699,2020-08-18,0.5
700,2020-08-17,0.5
701,2020-08-14,0.5
702,2020-08-13,0.5
703,2020-08-12,0.5
704,2020-08-11,0.5
705,2020-08-10,0.5
706,2020-08-07,0.5
707,2020-08-06,0.5
708,2020-08-05,0.5
709,2020-08-04,0.5
710,2020-08-03,0.5
711,2020-07-31,0.5
712,2020-07-30,0.5
713,2020-07-29,0.5
714,2020-07-28,0.5
715,2020-07-27,0.5
716,2020-07-24,0.5
717,2020-07-23,0.5
718,2020-07-22,0.5
719,2020-07-21,0.5
720,2020-07-20,0.5
721,2020-07-17,0.5
722,2020-07-16,0.5
723,2020-07-15,0.5
724,2020-07-14,0.5
725,2020-07-13,0.5
726,2020-07-10,0.5
727,2020-07-09,0.5
728,2020-07-08,0.5
729,2020-07-07,0.5
730,2020-07-06,0.5
731,2020-07-03,0.5
732,2020-07-02,0.5
733,2020-07-01,0.5
734,2020-06-30,0.5
735,2020-06-29,0.5
736,2020-06-26,0.5
737,2020-06-25,0.5
738,2020-06-24,0.5
739,2020-06-23,0.5
740,2020-06-22,0.5
741,2020-06-19,0.5
742,2020-06-18,0.5
743,2020-06-17,0.5
744,2020-06-16,0.5
745,2020-06-15,0.5
746,2020-06-12,0.5
747,2020-06-11,0.5
748,2020-06-10,0.5
749,2020-06-09,0.5
750,2020-06-08,0.5
751,2020-06-05,0.5
752,2020-06-04,0.5
753,2020-06-03,0.5
754,2020-06-02,0.5
755,2020-06-01,0.5
756,2020-05-29,0.5
757,2020-05-28,0.5
758,2020-05-27,0.5
759,2020-05-26,0.5
760,2020-05-25,0.5
761,2020-05-22,0.5
762,2020-05-21,0.5
763,2020-05-20,0.5
764,2020-05-19,0.5
765,2020-05-18,0.5
766,2020-05-15,0.5
767,2020-05-14,0.5
768,2020-05-13,0.5
769,2020-05-12,0.5
770,2020-05-11,0.5
771,2020-05-08,0.5
772,2020-05-07,0.5
773,2020-05-06,0.5
774,2020-05-05,0.5
775,2020-05-04,0.5
776,2020-05-01,0.5
777,2020-04-30,0.5
778,2020-04-29,0.5
779,2020-04-28,0.5
780,2020-04-27,0.5
781,2020-04-24,0.5
782,2020-04-23,0.5
783,2020-04-22,0.5
784,2020-04-21,0.5
785,2020-04-20,0.5
786,2020-04-17,0.5
787,2020-04-16,0.5
788,2020-04-15,0.5
789,2020-04-14,0.5
790,2020-04-13,0.5
791,2020-04-10,0.5
792,2020-04-09,0.5
793,2020-04-08,0.5
794,2020-04-07,0.5
795,2020-04-06,0.5
796,2020-04-03,0.5
797,2020-04-02,0.5
798,2020-04-01,0.5
799,2020-03-31,0.5
800,2020-03-30,0.5
801,2020-03-27,0.5
802,2020-03-26,1.0
803,2020-03-25,1.0
804,2020-03-24,1.0
805,2020-03-23,1.0
806,2020-03-20,1.0
807,2020-03-19,1.0
808,2020-03-18,1.0
809,2020-03-17,1.0
810,2020-03-16,1.0
811,2020-03-13,1.5
812,2020-03-12,1.5
813,2020-03-11,1.5
814,2020-03-10,1.5
815,2020-03-09,1.5
816,2020-03-06,1.5
817,2020-03-05,1.5
818,2020-03-04,1.5
819,2020-03-03,2.0
820,2020-03-02,2.0
821,2020-02-28,2.0
822,2020-02-27,2.0
823,2020-02-26,2.0
824,2020-02-25,2.0
825,2020-02-24,2.0
826,2020-02-21,2.0
827,2020-02-20,2.0
828,2020-02-19,2.0
829,2020-02-18,2.0
830,2020-02-17,2.0
831,2020-02-14,2.0
832,2020-02-13,2.0
833,2020-02-12,2.0
834,2020-02-11,2.0
835,2020-02-10,2.0
836,2020-02-07,2.0
837,2020-02-06,2.0
838,2020-02-05,2.0
839,2020-02-04,2.0
840,2020-02-03,2.0
841,2020-01-31,2.0
842,2020-01-30,2.0
843,2020-01-29,2.0
844,2020-01-28,2.0
845,2020-01-27,2.0
846,2020-01-24,2.0
847,2020-01-23,2.0
848,2020-01-22,2.0
849,2020-01-21,2.0
850,2020-01-20,2.0
851,2020-01-17,2.0
852,2020-01-16,2.0
853,2020-01-15,2.0
854,2020-01-14,2.0
855,2020-01-13,2.0
856,2020-01-10,2.0
857,2020-01-09,2.0
858,2020-01-08,2.0
859,2020-01-07,2.0
860,2020-01-06,2.0
861,2020-01-03,2.0
862,2020-01-02,2.0
863,2020-01-01,2.0
864,2019-12-31,2.0
865,2019-12-30,2.0
866,2019-12-27,2.0
867,2019-12-26,2.0
868,2019-12-25,2.0
869,2019-12-24,2.0
870,2019-12-23,2.0
871,2019-12-20,2.0
872,2019-12-19,2.0
873,2019-12-18,2.0
874,2019-12-17,2.0
875,2019-12-16,2.0
876,2019-12-13,2.0
877,2019-12-12,2.0
878,2019-12-11,2.0
879,2019-12-10,2.0
880,2019-12-09,2.0
881,2019-12-06,2.0
882,2019-12-05,2.0
883,2019-12-04,2.0
884,2019-12-03,2.0
885,2019-12-02,2.0
886,2019-11-29,2.0
887,2019-11-28,2.0
888,2019-11-27,2.0
889,2019-11-26,2.0
890,2019-11-25,2.0
891,2019-11-22,2.0
892,2019-11-21,2.0
893,2019-11-20,2.0
894,2019-11-19,2.0
895,2019-11-18,2.0
896,2019-11-15,2.0
897,2019-11-14,2.0
898,2019-11-13,2.0
899,2019-11-12,2.0
900,2019-11-11,2.0
901,2019-11-08,2.0
902,2019-11-07,2.0
903,2019-11-06,2.0
904,2019-11-05,2.0
905,2019-11-04,2.0
906,2019-11-01,2.0
907,2019-10-31,2.0
908,2019-10-30,2.0
909,2019-10-29,2.0
910,2019-10-28,2.0
911,2019-10-25,2.0
912,2019-10-24,2.0
913,2019-10-23,2.0
914,2019-10-22,2.0
915,2019-10-21,2.0
916,2019-10-18,2.0
917,2019-10-17,2.0
918,2019-10-16,2.0
919,2019-10-15,2.0
920,2019-10-14,2.0
921,2019-10-11,2.0
922,2019-10-10,2.0
923,2019-10-09,2.0
924,2019-10-08,2.0
925,2019-10-07,2.0
926,2019-10-04,2.0
927,2019-10-03,2.0
928,2019-10-02,2.0
929,2019-10-01,2.0
930,2019-09-30,2.0
931,2019-09-27,2.0
932,2019-09-26,2.0
933,2019-09-25,2.0
934,2019-09-24,2.0
935,2019-09-23,2.0
936,2019-09-20,2.0
937,2019-09-19,2.0
938,2019-09-18,2.0
939,2019-09-17,2.0
940,2019-09-16,2.0
941,2019-09-13,2.0
942,2019-09-12,2.0
943,2019-09-11,2.0
944,2019-09-10,2.0
945,2019-09-09,2.0
946,2019-09-06,2.0
947,2019-09-05,2.0
948,2019-09-04,2.0
949,2019-09-03,2.0
950,2019-09-02,2.0
951,2019-08-30,2.0
952,2019-08-29,2.0
953,2019-08-28,2.0
954,2019-08-27,2.0
955,2019-08-26,2.0
956,2019-08-23,2.0
957,2019-08-22,2.0
958,2019-08-21,2.0
959,2019-08-20,2.0
960,2019-08-19,2.0
961,2019-08-16,2.0
962,2019-08-15,2.0
963,2019-08-14,2.0
964,2019-08-13,2.0
965,2019-08-12,2.0
966,2019-08-09,2.0
967,2019-08-08,2.0
968,2019-08-07,2.0
969,2019-08-06,2.0
970,2019-08-05,2.0
971,2019-08-02,2.0
972,2019-08-01,2.0
973,2019-07-31,2.0
974,2019-07-30,2.0
975,2019-07-29,2.0
976,2019-07-26,2.0
977,2019-07-25,2.0
978,2019-07-24,2.0
979,2019-07-23,2.0
980,2019-07-22,2.0
981,2019-07-19,2.0
982,2019-07-18,2.0
983,2019-07-17,2.0
984,2019-07-16,2.0
985,2019-07-15,2.0
986,2019-07-12,2.0
987,2019-07-11,2.0
988,2019-07-10,2.0
989,2019-07-09,2.0
990,2019-07-08,2.0
991,2019-07-05,2.0
992,2019-07-04,2.0
993,2019-07-03,2.0
994,2019-07-02,2.0
995,2019-07-01,2.0
996,2019-06-28,2.0
997,2019-06-27,2.0
998,2019-06-26,2.0
999,2019-06-25,2.0
1000,2019-06-24,2.0
1001,2019-06-21,2.0
1002,2019-06-20,2.0
1003,2019-06-19,2.0
1004,2019-06-18,2.0
1005,2019-06-17,2.0
1006,2019-06-14,2.0
1007,2019-06-13,2.0
1008,2019-06-12,2.0
1009,2019-06-11,2.0
1010,2019-06-10,2.0
1011,2019-06-07,2.0
1012,2019-06-06,2.0
1013,2019-06-05,2.0
1014,2019-06-04,2.0
1015,2019-06-03,2.0
1016,2019-05-31,2.0
1017,2019-05-30,2.0
1018,2019-05-29,2.0
1019,2019-05-28,2.0
1020,2019-05-27,2.0
1021,2019-05-24,2.0
1022,2019-05-23,2.0
1023,2019-05-22,2.0
1024,2019-05-21,2.0
1025,2019-05-20,2.0
1026,2019-05-17,2.0
1027,2019-05-16,2.0
1028,2019-05-15,2.0
1029,2019-05-14,2.0
1030,2019-05-13,2.0
1031,2019-05-10,2.0
1032,2019-05-09,2.0
1033,2019-05-08,2.0
1034,2019-05-07,2.0
1035,2019-05-06,2.0
1036,2019-05-03,2.0
1037,2019-05-02,2.0
1038,2019-05-01,2.0
1039,2019-04-30,2.0
1040,2019-04-29,2.0
1041,2019-04-26,2.0
1042,2019-04-25,2.0
1043,2019-04-24,2.0
1044,2019-04-23,2.0
1045,2019-04-22,2.0
1046,2019-04-19,2.0
1047,2019-04-18,2.0
1048,2019-04-17,2.0
1049,2019-04-16,2.0
1050,2019-04-15,2.0
1051,2019-04-12,2.0
1052,2019-04-11,2.0
1053,2019-04-10,2.0
1054,2019-04-09,2.0
1055,2019-04-08,2.0
1056,2019-04-05,2.0
1057,2019-04-04,2.0
1058,2019-04-03,2.0
1059,2019-04-02,2.0
1060,2019-04-01,2.0
1061,2019-03-29,2.0
1062,2019-03-28,2.0
1063,2019-03-27,2.0
1064,2019-03-26,2.0
1065,2019-03-25,2.0
1066,2019-03-22,2.0
1067,2019-03-21,2.0
